Name,Sector,Industry,Market cap (mil),,,
Societatea Energetica Electrica SA ELSA,Utilities,Utilities - Regulated Electric,"USD 1,101.49",,,
Volution Group PLC FAN,Industrials,Building Products & Equipment,"GBX 1,096.08",,,
Ithaca Energy PLC ITH,Energy,Oil & Gas E&P,"GBX 1,070.58",,,
Aedas Homes SA 0RV8,Real Estate,Real Estate - Development,"EUR 1,058.31",,,
Exosens SA 0EXO,Industrials,Electrical Equipment & Parts,"EUR 1,014.33",,,
Vesuvius PLC VSVS,Basic Materials,Steel,"GBX 1,014.23",,,
Chemring Group PLC CHG,Industrials,Aerospace & Defense,"GBX 1,013.57",,,
Zhejiang Yongtai Technology Co Ltd YTT,Basic Materials,Chemicals,"USD 1,013.51",,,
Seplat Energy PLC SEPL,Energy,Oil & Gas E&P,"GBX 1,012.45",,,
Cairn Homes PLC CRN,Consumer Cyclical,Residential Construction,"GBX 1,003.63",,,
Spirent Communications PLC SPT,Technology,Software - Infrastructure,GBX 983.58,,,
Alphawave IP Group PLC AWE,Technology,Semiconductors,GBX 961.69,,,
Indivior PLC INDV,Healthcare,Drug Manufacturers - Specialty & Generic,GBX 955.20,,,
Spire Healthcare Group PLC SPI,Healthcare,Medical Care Facilities,GBX 948.98,,,
Watches of Switzerland Group PLC WOSG,Consumer Cyclical,Luxury Goods,GBX 941.99,,,
FirstGroup PLC FGP,Industrials,Railroads,GBX 940.41,,,
Elementis PLC ELM,Basic Materials,Specialty Chemicals,GBX 939.06,,,
Alpha Group International PLC ALPH,Financial Services,Capital Markets,GBX 930.50,,,
Permanent TSB Group Holdings PLC PTSB,Financial Services,Banks - Regional,EUR 922.04,,,
Hochschild Mining PLC HOC,Basic Materials,Gold,GBX 919.85,,,
Bakkavor Group PLC BAKK,Consumer Defensive,Packaged Foods,GBX 913.79,,,
Trustpilot Group PLC TRST,Technology,Software - Application,GBX 909.97,,,
Lucky Cement Ltd LKCS,Industrials,Conglomerates,USD 907.95,,,
John Wood Group PLC WG.,Energy,Oil & Gas Integrated,GBX 907.48,,,
Lucky Cement Ltd LKCA,Industrials,Conglomerates,USD 906.08,,,
Fevertree Drinks PLC FEVR,Consumer Defensive,Beverages - Non-Alcoholic,GBX 901.79,,,
Currys PLC CURY,Consumer Cyclical,Specialty Retail,GBX 901.13,,,
Musti Group PLC 0A3B,Consumer Cyclical,Personal Services,EUR 894.80,,,
Wetherspoon (J D) PLC JDW,Consumer Cyclical,Restaurants,GBX 893.79,,,
Glenveagh Properties PLC GLV,Consumer Cyclical,Residential Construction,EUR 889.23,,,
CMC Markets PLC CMCX,Financial Services,Capital Markets,GBX 887.02,,,
Tatneft PJSC ATAD,Energy,Oil & Gas Integrated,USD 881.47,,,
Renew Holdings PLC RNWH,Industrials,Engineering & Construction,GBX 876.85,,,
Zigup PLC ZIG,Industrials,Rental & Leasing Services,GBX 865.99,,,
Dowlais Group PLC DWL,Consumer Cyclical,Auto Manufacturers,GBX 860.83,,,
Marshalls PLC MSLH,Basic Materials,Building Materials,GBX 840.79,,,
CVS Group PLC CVSG,Consumer Cyclical,Personal Services,GBX 840.13,,,
Conduit Holdings Ltd CRE,Financial Services,Insurance - Reinsurance,GBX 838.26,,,
Victrex PLC VCT,Basic Materials,Specialty Chemicals,GBX 837.28,,,
Greencore Group PLC GNC,Consumer Defensive,Packaged Foods,GBX 822.09,,,
TI Fluid Systems PLC TIFS,Consumer Cyclical,Auto Parts,GBX 811.12,,,
Hilton Food Group PLC HFG,Consumer Defensive,Packaged Foods,GBX 807.32,,,
Close Brothers Group PLC CBG,Financial Services,Banks - Regional,GBX 793.82,,,
Resolute Mining Ltd RSG,Basic Materials,Gold,GBX 792.72,,,
Morgan Advanced Materials PLC MGAM,Industrials,Specialty Industrial Machinery,GBX 792.51,,,
Craneware PLC CRW,Healthcare,Health Information Services,GBX 784.08,,,
Dalata Hotel Group PLC DAL,Consumer Cyclical,Lodging,GBX 779.62,,,
GB Group PLC GBG,Technology,Software - Application,GBX 775.95,,,
SigmaRoc PLC SRC,Basic Materials,Building Materials,GBX 769.25,,,
Dar Global PLC DAR,Real Estate,Real Estate - Development,USD 768.69,,,
Irish Continental Group PLC ICGC,Industrials,Marine Shipping,GBX 750.53,,,
AG Barr PLC BAG,Consumer Defensive,Beverages - Non-Alcoholic,GBX 729.14,,,
James Halstead PLC JHD,Industrials,Building Products & Equipment,GBX 727.15,,,
ME Group International PLC MEGP,Industrials,Business Equipment & Supplies,GBX 720.92,,,
Zenith Bank PLC ZENB,Financial Services,Banks - Regional,USD 708.82,,,
THG PLC THG,Consumer Cyclical,Internet Retail,GBX 708.74,,,
Ibstock PLC IBST,Basic Materials,Building Materials,GBX 708.31,,,
EFG Holding SAE EFGD,Financial Services,Capital Markets,USD 693.30,,,
Moonpig Group PLC MOON,Consumer Cyclical,Specialty Retail,GBX 691.53,,,
Judges Scientific PLC JDG,Technology,Scientific & Technical Instruments,GBX 684.06,,,
Johnson Service Group PLC JSG,Industrials,Specialty Business Services,GBX 663.20,,,
Hunting PLC HTG,Energy,Oil & Gas Equipment & Services,GBX 649.23,,,
Raspberry Pi Holdings PLC RPI,Technology,Electronic Components,GBX 641.68,,,
Pan African Resources PLC PAF,Basic Materials,Gold,GBX 638.20,,,
Senior PLC SNR,Industrials,Aerospace & Defense,GBX 631.37,,,
Kier Group PLC KIE,Industrials,Engineering & Construction,GBX 628.49,,,
Air Astana JSC AIRA,Industrials,Airlines,USD 620.58,,,
AO World PLC AO.,Consumer Cyclical,Internet Retail,GBX 620.08,,,
Alfa Financial Software Holdings PLC ALFA,Technology,Software - Application,GBX 617.02,,,
Harworth Group PLC HWG,Real Estate,Real Estate - Development,GBX 613.32,,,
Foresight Group Holdings Ltd FSG,Financial Services,Asset Management,GBX 612.86,,,
Dr. Martens PLC DOCS,Consumer Cyclical,Footwear & Accessories,GBX 609.25,,,
XPS Pensions Group PLC XPS,Consumer Cyclical,Personal Services,GBX 607.88,,,
C&C Group PLC CCR,Consumer Defensive,Beverages - Brewers,GBX 602.33,,,
Uniphar PLC UPR,Healthcare,Medical Distribution,GBX 601.94,,,
RWS Holdings PLC RWS,Industrials,Specialty Business Services,GBX 599.49,,,
Thungela Resources Ltd TGA,Energy,Thermal Coal,GBX 596.17,,,
discoverIE Group PLC DSCV,Technology,Electronic Components,GBX 587.16,,,
WAG Payment Solutions PLC WPS,Technology,Software - Infrastructure,GBX 583.77,,,
Volex PLC VLX,Industrials,Electrical Equipment & Parts,GBX 583.24,,,
Guaranty Trust Holding Co PLC GTCO,Financial Services,Banks - Diversified,USD 573.93,,,
LondonMetric Property PLC LMP,Real Estate,REIT - Industrial,GBX 569.93,,,
Hanatour Service Inc TOUR,Consumer Cyclical,Travel Services,USD 568.77,,,
Learning Technologies Group PLC LTG,Technology,Software - Application,GBX 567.06,,,
Adriatic Metals PLC ADT1,Basic Materials,Other Industrial Metals & Mining,GBX 563.94,,,
Empiric Student Property PLC ESP,Real Estate,REIT - Residential,GBX 551.04,,,
YouGov PLC YOU,Industrials,Consulting Services,GBX 547.63,,,
Advanced Medical Solutions Group PLC AMS,Healthcare,Medical Instruments & Supplies,GBX 543.71,,,
SThree PLC STEM,Industrials,Staffing & Employment Services,GBX 541.75,,,
Hollywood Bowl Group PLC BOWL,Consumer Cyclical,Leisure,GBX 541.35,,,
Goodwin PLC GDWN,Industrials,Specialty Industrial Machinery,GBX 537.69,,,
Bloomsbury Publishing PLC BMY,Communication Services,Publishing,GBX 537.49,,,
NCC Group PLC NCC,Technology,Software - Application,GBX 532.93,,,
Serica Energy PLC SQZ,Energy,Oil & Gas E&P,GBX 531.41,,,
ASOS PLC ASC,Consumer Cyclical,Internet Retail,GBX 530.02,,,
PPHE Hotel Group Ltd PPH,Consumer Cyclical,Lodging,GBX 526.14,,,
Renewi PLC RWI,Industrials,Waste Management,GBX 522.93,,,
Atalaya Mining PLC ATYM,Basic Materials,Copper,GBX 514.47,,,
Cerillion PLC CER,Technology,Software - Application,GBX 510.97,,,
Crest Nicholson Holdings PLC CRST,Consumer Cyclical,Residential Construction,GBX 509.56,,,
Ashtead Technology Holdings PLC AT.,Energy,Oil & Gas Equipment & Services,GBX 504.29,,,
Boku Inc BOKU,Technology,Software - Infrastructure,GBX 501.79,,,
Young & Co's Brewery PLC YNGA,Consumer Cyclical,Restaurants,GBX 499.94,,,
Auction Technology Group PLC ATG,Technology,Software - Application,GBX 498.24,,,
Taseko Mines Ltd TKO,Basic Materials,Copper,GBX 496.61,,,
Young & Co's Brewery PLC YNGN,Consumer Cyclical,Restaurants,GBX 494.79,,,
Polar Capital Holdings PLC POLR,Financial Services,Asset Management,GBX 493.54,,,
PayPoint PLC PAY,Technology,Software - Infrastructure,GBX 483.26,,,
Impax Asset Management Group PLC IPX,Financial Services,Asset Management,GBX 476.02,,,
VAALCO Energy Inc EGY,Energy,Oil & Gas E&P,GBX 474.34,,,
M P Evans Group PLC MPE,Consumer Defensive,Farm Products,GBX 473.06,,,
Ocean Wilsons Holdings Ltd OCN,Industrials,Marine Shipping,GBX 472.10,,,
London Security PLC LSC,Industrials,Security & Protection Services,GBX 465.88,,,
IP Group PLC IPO,Financial Services,Asset Management,GBX 463.09,,,
Card Factory PLC CARD,Consumer Cyclical,Specialty Retail,GBX 462.32,,,
Picton Property Income Ltd PCTN,Real Estate,REIT - Diversified,GBX 459.21,,,
Mobico Group PLC MCG,Industrials,Railroads,GBX 456.57,,,
Next 15 Group PLC NFG,Communication Services,Advertising Agencies,GBX 452.62,,,
Jupiter Fund Management PLC JUP,Financial Services,Asset Management,GBX 450.51,,,
FD Technologies PLC FDP,Technology,Information Technology Services,GBX 445.87,,,
FDM Group (Holdings) PLC FDM,Technology,Information Technology Services,GBX 442.65,,,
Fuller Smith & Turner PLC FSTA,Consumer Cyclical,Restaurants,GBX 441.92,,,
Metro Bank Holdings PLC MTRO,Financial Services,Banks - Regional,GBX 437.34,,,
MHP SE MHPC,Consumer Defensive,Farm Products,USD 430.29,,,
MHP SE 71HT,Consumer Defensive,Farm Products,USD 430.29,,,
AB Dynamics PLC ABDP,Consumer Cyclical,Auto Parts,GBX 428.10,,,
Diversified Energy Co PLC DEC,Energy,Oil & Gas E&P,GBX 427.68,,,
Tatton Asset Management PLC TAM,Financial Services,Asset Management,GBX 424.95,,,
Warpaint London PLC W7L,Consumer Defensive,Household & Personal Products,GBX 416.11,,,
Wickes Group PLC WIX,Consumer Cyclical,Home Improvement Retail,GBX 415.38,,,
Essentra PLC ESNT,Basic Materials,Specialty Chemicals,GBX 406.13,,,
Edita Food Industries S.A.E 66XD,Consumer Defensive,Packaged Foods,USD 405.71,,,
Edita Food Industries S.A.E EFID,Consumer Defensive,Packaged Foods,USD 405.71,,,
Marlowe PLC MRL,Industrials,Security & Protection Services,GBX 404.82,,,
Unisys Corp USY,Technology,Information Technology Services,USD 402.15,,,
Chesnara PLC CSN,Financial Services,Insurance - Life,GBX 400.03,,,
Funding Circle Holdings PLC FCH,Financial Services,Credit Services,GBX 399.74,,,
Pollen Street Group Ltd POLN,Financial Services,Asset Management,GBX 392.32,,,
Nichols PLC NICL,Consumer Defensive,Beverages - Non-Alcoholic,GBX 390.87,,,
Thorpe (F W) PLC TFW,Industrials,Electrical Equipment & Parts,GBX 387.37,,,
Nexxen International Ltd NEXN,Communication Services,Advertising Agencies,GBX 381.15,,,
PensionBee Group PLC PBEE,Financial Services,Capital Markets,GBX 381.15,,,
Ceres Power Holdings PLC CWR,Industrials,Electrical Equipment & Parts,GBX 377.42,,,
Rank Group (The) PLC RNK,Consumer Cyclical,Gambling,GBX 374.74,,,
Boohoo Group PLC BOO,Consumer Cyclical,Internet Retail,GBX 372.10,,,
Origin Enterprises PLC OGN,Consumer Defensive,Farm Products,EUR 369.16,,,
Synthomer PLC SYNT,Basic Materials,Specialty Chemicals,GBX 366.39,,,
PZ Cussons PLC PZC,Consumer Defensive,Household & Personal Products,GBX 366.39,,,
Liontrust Asset Management PLC LIO,Financial Services,Asset Management,GBX 366.19,,,
Team17 Group PLC TM17,Communication Services,Electronic Gaming & Multimedia,GBX 365.64,,,
Sabre Insurance Group PLC SBRE,Financial Services,Insurance Brokers,GBX 365.16,,,
Restore PLC RST,Industrials,Specialty Business Services,GBX 364.92,,,
Victorian Plumbing Group PLC VIC,Consumer Cyclical,Home Improvement Retail,GBX 363.15,,,
Avon Technologies PLC AVON,Industrials,Aerospace & Defense,GBX 362.96,,,
Forterra PLC FORT,Basic Materials,Building Materials,GBX 362.49,,,
CLS Holdings PLC CLI,Real Estate,REIT - Office,GBX 361.64,,,
Mountview Estates PLC MTVW,Real Estate,Real Estate Services,GBX 360.66,,,
Oxford BioMedica PLC OXB,Healthcare,Biotechnology,GBX 356.05,,,
Mears Group PLC MER,Consumer Cyclical,Personal Services,GBX 355.98,,,
Wilmington PLC WIL,Consumer Defensive,Education & Training Services,GBX 355.52,,,
Georgia Capital PLC CGEO,Financial Services,Financial Conglomerates,GBX 352.51,,,
FRP Advisory Group PLC FRP,Financial Services,Capital Markets,GBX 349.29,,,
PureTech Health PLC PRTC,Healthcare,Biotechnology,GBX 348.12,,,
Tullow Oil PLC TLW,Energy,Oil & Gas E&P,GBX 347.92,,,
Savannah Energy PLC SAVE,Energy,Oil & Gas E&P,GBX 344.45,,,
Central Asia Metals PLC CAML,Basic Materials,Copper,GBX 342.73,,,
Mortgage Advice Bureau (Holdings) PLC MAB1,Financial Services,Mortgage Finance,GBX 338.47,,,
MJ Gleeson PLC GLE,Consumer Cyclical,Residential Construction,GBX 336.86,,,
International Personal Finance PLC IPF,Financial Services,Credit Services,GBX 335.64,,,
Reach PLC RCH,Communication Services,Publishing,GBX 332.20,,,
Big Technologies PLC BIG,Technology,Software - Application,GBX 330.53,,,
LSL Property Services PLC LSL,Real Estate,Real Estate Services,GBX 329.27,,,
Halfords Group PLC HFD,Consumer Cyclical,Specialty Retail,GBX 328.95,,,
Midwich Group PLC MIDW,Technology,Electronics & Computer Distribution,GBX 327.40,,,
MaxCyte Inc MXCT,Healthcare,Medical Devices,GBX 326.83,,,
Cohort PLC CHRT,Industrials,Aerospace & Defense,GBX 325.87,,,
PetroTal Corp PTAL,Energy,Oil & Gas E&P,GBX 325.61,,,
Team Internet Group PLC TIG,Communication Services,Internet Content & Information,GBX 324.68,,,
Capita PLC CPI,Industrials,Specialty Business Services,GBX 317.41,,,
Benchmark Holdings PLC BMK,Consumer Defensive,Packaged Foods,GBX 310.71,,,
Franchise Brands PLC FRAN,Industrials,Specialty Business Services,GBX 309.48,,,
Greatland Gold PLC GGP,Basic Materials,Gold,GBX 307.97,,,
Fintel PLC FNTL,Industrials,Consulting Services,GBX 307.34,,,
SolGold PLC SOLG,Basic Materials,Other Industrial Metals & Mining,GBX 304.31,,,
XP Power Ltd XPP,Industrials,Electrical Equipment & Parts,GBX 302.65,,,
Pinewood Technologies Group PLC PINE,Consumer Cyclical,Auto & Truck Dealerships,GBX 301.00,,,
ITM Power PLC ITM,Industrials,Specialty Industrial Machinery,GBX 299.09,,,
Kenmare Resources PLC KMR,Basic Materials,Other Industrial Metals & Mining,GBX 298.91,,,
Porvair PLC PRV,Industrials,Pollution & Treatment Controls,GBX 298.70,,,
Henry Boot PLC BOOT,Real Estate,Real Estate - Diversified,GBX 297.99,,,
IQGeo Group PLC IQG,Technology,Software - Application,GBX 296.76,,,
Dish TV India Ltd DTVL,Communication Services,Entertainment,USD 295.46,,,
Brooks Macdonald Group PLC BRK,Financial Services,Asset Management,GBX 295.38,,,
Yu Group PLC YU.,Utilities,Utilities - Diversified,GBX 293.73,,,
Elixirr International PLC ELIX,Industrials,Consulting Services,GBX 293.44,,,
Galliford Try Holdings PLC GFRD,Industrials,Engineering & Construction,GBX 292.10,,,
IDOX PLC IDOX,Technology,Software - Application,GBX 290.84,,,
The Property Franchise Group PLC TPFG,Real Estate,Real Estate Services,GBX 285.61,,,
Loungers PLC LGRS,Consumer Cyclical,Restaurants,GBX 283.55,,,
dotDigital Group PLC DOTD,Technology,Software - Application,GBX 281.99,,,
Gym Group (The) PLC GYM,Consumer Cyclical,Leisure,GBX 281.39,,,
Costain Group PLC COST,Industrials,Engineering & Construction,GBX 281.15,,,
LBG Media PLC LBG,Communication Services,Publishing,GBX 280.17,,,
Ricardo PLC RCDO,Industrials,Consulting Services,GBX 279.97,,,
Videndum PLC VID,Technology,Consumer Electronics,GBX 278.80,,,
DFS Furniture PLC DFS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",GBX 278.63,,,
Latham (James) PLC LTHM,Basic Materials,Lumber & Wood Production,GBX 278.21,,,
NIOX Group PLC NIOX,Healthcare,Medical Devices,GBX 276.48,,,
Helical PLC HLCL,Real Estate,Real Estate Services,GBX 273.66,,,
S4 Capital PLC SFOR,Communication Services,Advertising Agencies,GBX 273.25,,,
Griffin Mining Ltd GFM,Basic Materials,Other Industrial Metals & Mining,GBX 273.14,,,
Evoke PLC EVOK,Consumer Cyclical,Gambling,GBX 267.24,,,
Treatt PLC TET,Basic Materials,Specialty Chemicals,GBX 263.84,,,
Vp PLC VP.,Industrials,Rental & Leasing Services,GBX 260.44,,,
Sirius Real Estate Ltd SRE,Real Estate,Real Estate Services,GBX 255.29,,,
Gulf Keystone Petroleum Ltd GKP,Energy,Oil & Gas E&P,GBX 253.25,,,
Robert Walters PLC RWA,Industrials,Staffing & Employment Services,GBX 252.53,,,
Aluflexpack AG 0ALU,Consumer Cyclical,Packaging & Containers,CHF 251.72,,,
CAB Payments Holdings PLC CABP,Financial Services,Banks - Diversified,GBX 249.80,,,
Ferrexpo PLC FXPO,Basic Materials,Steel,GBX 249.12,,,
Burford Capital Ltd BUR,Financial Services,Asset Management,GBX 247.50,,,
Marston's PLC MARS,Consumer Cyclical,Restaurants,GBX 246.06,,,
ZCCM Investments Holdings PLC ZCC,Basic Materials,Other Industrial Metals & Mining,USD 244.88,,,
Andrews Sykes Group PLC ASY,Industrials,Rental & Leasing Services,GBX 240.69,,,
On The Beach Group PLC OTB,Consumer Cyclical,Travel Services,GBX 240.46,,,
Severfield PLC SFR,Industrials,Engineering & Construction,GBX 239.92,,,
Anglo-Eastern Plantations PLC AEP,Consumer Defensive,Farm Products,GBX 237.72,,,
M&C Saatchi PLC SAA,Communication Services,Advertising Agencies,GBX 236.57,,,
Faron Pharmaceuticals Oy FARN,Healthcare,Biotechnology,GBX 234.36,,,
SIG PLC SHI,Industrials,Industrial Distribution,GBX 232.76,,,
Luceco PLC LUCE,Industrials,Electrical Equipment & Parts,GBX 231.65,,,
Fonix PLC FNX,Technology,Software - Infrastructure,GBX 230.12,,,
Avacta Group PLC AVCT,Healthcare,Biotechnology,GBX 229.79,,,
Kitwave Group PLC KITW,Consumer Defensive,Food Distribution,GBX 228.21,,,
Tharisa PLC THS,Basic Materials,Other Precious Metals & Mining,GBX 226.20,,,
Alliance Pharma PLC APH,Healthcare,Drug Manufacturers - Specialty & Generic,GBX 223.79,,,
EnQuest PLC ENQ,Energy,Oil & Gas E&P,GBX 223.17,,,
Equals Group PLC EQLS,Financial Services,Credit Services,GBX 221.53,,,
Genel Energy PLC GENL,Energy,Oil & Gas E&P,GBX 215.37,,,
accesso Technology Group PLC ACSO,Technology,Software - Application,GBX 213.76,,,
Vertu Motors PLC VTU,Consumer Cyclical,Auto & Truck Dealerships,GBX 212.77,,,
Zotefoams PLC ZTF,Basic Materials,Specialty Chemicals,GBX 211.42,,,
Science Group PLC SAG,Industrials,Consulting Services,GBX 210.07,,,
Norcros PLC NXR,Industrials,Building Products & Equipment,GBX 209.38,,,
Integrated Diagnostics Holdings PLC IDHC,Healthcare,Diagnostics & Research,USD 209.28,,,
Beximco Pharmaceuticals Ltd BXP,Healthcare,Drug Manufacturers - Specialty & Generic,GBX 206.66,,,
Brickability Group PLC BRCK,Industrials,Industrial Distribution,GBX 205.80,,,
Allergy Therapeutics PLC AGY,Healthcare,Drug Manufacturers - Specialty & Generic,GBX 204.96,,,
S & U PLC SUS,Financial Services,Credit Services,GBX 204.74,,,
Redcentric PLC RCN,Technology,Information Technology Services,GBX 204.72,,,
Supreme PLC SUP,Industrials,Electrical Equipment & Parts,GBX 202.28,,,
Seeing Machines Ltd SEE,Technology,Software - Infrastructure,GBX 200.94,,,
Amaroq Minerals Ltd AMRQ,Basic Materials,Gold,GBX 199.40,,,
Keystone Law Group PLC KEYS,Industrials,Specialty Business Services,GBX 199.04,,,
Caledonia Mining Corp PLC CMCL,Basic Materials,Gold,GBX 197.15,,,
hVIVO PLC HVO,Healthcare,Biotechnology,GBX 195.61,,,
Sovereign Metals Ltd SVML,Basic Materials,Other Industrial Metals & Mining,GBX 195.17,,,
Hargreaves Services PLC HSP,Industrials,Integrated Freight & Logistics,GBX 191.56,,,
Foxtons Group PLC FOXT,Real Estate,Real Estate Services,GBX 191.21,,,
Tracsis PLC TRCS,Technology,Software - Application,GBX 191.13,,,
Bioventix PLC BVXP,Healthcare,Biotechnology,GBX 190.52,,,
Tristel PLC TSTL,Healthcare,Medical Instruments & Supplies,GBX 190.46,,,
McBride PLC MCB,Consumer Defensive,Household & Personal Products,GBX 190.01,,,
Stelrad Group PLC SRAD,Industrials,Building Products & Equipment,GBX 188.48,,,
Aptitude Software Group PLC APTD,Technology,Software - Application,GBX 187.73,,,
Time Out Group PLC TMO,Communication Services,Entertainment,GBX 187.18,,,
De La Rue PLC DLAR,Industrials,Specialty Business Services,GBX 185.45,,,
Gateley (Holdings) PLC GTLY,Industrials,Consulting Services,GBX 183.59,,,
City of London Investment Group PLC CLIG,Financial Services,Asset Management,GBX 182.59,,,
Soltec Power Holdings SA 0AC5,Technology,Solar,EUR 179.83,,,
Tufton Oceanic Assets Ltd SHPC,Financial Services,Asset Management,USD 179.82,,,
Amicorp FS (UK) PLC AMIF,Financial Services,Asset Management,USD 179.55,,,
4basebio PLC 4BB,Healthcare,Biotechnology,GBX 179.35,,,
Gulf Marine Services PLC GMS,Energy,Oil & Gas Equipment & Services,GBX 178.15,,,
Hostelworld Group PLC HSW,Consumer Cyclical,Travel Services,GBX 177.49,,,
Macfarlane Group PLC MACF,Consumer Cyclical,Packaging & Containers,GBX 177.16,,,
AdvancedAdvT Ltd ADVT,Technology,Software - Application,GBX 176.49,,,
Fisher (James) & Sons PLC FSJ,Industrials,Marine Shipping,GBX 173.33,,,
Strix Group PLC KETL,Technology,Electronic Components,GBX 172.39,,,
Ecora Resources PLC ECOR,Basic Materials,Other Industrial Metals & Mining,GBX 169.30,,,
Conygar Investment Co (The) PLC CIC,Real Estate,Real Estate - Development,GBX 169.12,,,
Speedy Hire PLC SDY,Industrials,Rental & Leasing Services,GBX 169.03,,,
Focusrite PLC TUNE,Consumer Cyclical,Leisure,GBX 168.44,,,
IQE PLC IQE,Technology,Semiconductor Equipment & Materials,GBX 168.23,,,
IG Design Group PLC IGR,Consumer Cyclical,Specialty Retail,GBX 168.17,,,
Eurocell PLC ECEL,Industrials,Building Products & Equipment,GBX 166.23,,,
Beeks Financial Cloud Group PLC BKS,Technology,Software - Infrastructure,GBX 165.98,,,
Filtronic PLC FTC,Technology,Communication Equipment,GBX 164.16,,,
MS International PLC MSI,Industrials,Conglomerates,GBX 163.10,,,
Somero Enterprises Inc SOM,Industrials,Farm & Heavy Construction Machinery,GBX 162.66,,,
Begbies Traynor Group PLC BEG,Industrials,Specialty Business Services,GBX 161.45,,,
H&T Group PLC HAT,Financial Services,Credit Services,GBX 161.33,,,
Pantheon Resources PLC PANR,Energy,Oil & Gas E&P,GBX 161.24,,,
Celtic PLC CCP,Communication Services,Entertainment,GBX 161.21,,,
Capital Ltd CAPD,Basic Materials,Other Industrial Metals & Mining,GBX 160.93,,,
Peel Hunt Ltd PEEL,Financial Services,Capital Markets,GBX 159.65,,,
Public Policy Holding Co Inc PPHC,Industrials,Consulting Services,GBX 157.50,,,
TT Electronics PLC TTG,Technology,Electronic Components,GBX 157.43,,,
Globaltrans Investment PLC GLTR,Industrials,Railroads,USD 156.92,,,
Globaltrans Investment PLC 38KH,Industrials,Railroads,USD 156.92,,,
Secure Trust Bank PLC STB,Financial Services,Banks - Regional,GBX 155.74,,,
Arbuthnot Banking Group PLC ARBB,Financial Services,Banks - Regional,GBX 155.50,,,
Devolver Digital Inc DEVO,Communication Services,Electronic Gaming & Multimedia,GBX 154.69,,,
Jadestone Energy PLC JSE,Energy,Oil & Gas E&P,GBX 154.13,,,
Vanquis Banking Group PLC VANQ,Financial Services,Credit Services,GBX 153.89,,,
Base Resources Ltd BSE,Basic Materials,Other Industrial Metals & Mining,GBX 152.70,,,
Capricorn Energy PLC CNE,Energy,Oil & Gas E&P,GBX 152.10,,,
Saga PLC SAGA,Financial Services,Insurance - Diversified,GBX 150.26,,,
Netcall PLC NET,Technology,Software - Application,GBX 149.24,,,
Jubilee Metals Group PLC JLP,Basic Materials,Other Industrial Metals & Mining,GBX 148.78,,,
i3 Energy PLC I3E,Energy,Oil & Gas E&P,GBX 148.14,,,
Victoria PLC VCP,Consumer Cyclical,"Furnishings, Fixtures & Appliances",GBX 147.72,,,
Animalcare Group PLC ANCR,Healthcare,Drug Manufacturers - Specialty & Generic,GBX 146.71,,,
Microlise Group PLC SAAS,Technology,Software - Application,GBX 146.09,,,
Capital & Regional PLC CAL,Real Estate,REIT - Retail,GBX 145.83,,,
X5 Retail Group NV 89VS,Consumer Defensive,Grocery Stores,USD 144.30,,,
X5 Retail Group NV FIVE,Consumer Defensive,Grocery Stores,USD 144.30,,,
AOTI Inc AOTI,Healthcare,Medical Devices,GBX 143.58,,,
Mercia Asset Management PLC MERC,Financial Services,Asset Management,GBX 142.32,,,
Epwin Group PLC EPWN,Industrials,Building Products & Equipment,GBX 142.08,,,
Gran Tierra Energy Inc GTE,Energy,Oil & Gas E&P,GBX 141.28,,,
Eckoh PLC ECK,Technology,Information Technology Services,GBX 140.93,,,
Solid State PLC SOLI,Technology,Electronic Components,GBX 140.41,,,
Windward Ltd WNWD,Technology,Software - Infrastructure,GBX 139.63,,,
Scancell Holdings PLC SCLP,Healthcare,Biotechnology,GBX 139.44,,,
Smiths News PLC SNWS,Communication Services,Publishing,GBX 137.51,,,
Eagle Eye Solutions Group PLC EYE,Technology,Software - Application,GBX 137.11,,,
Jersey Electricity PLC JEL,Utilities,Utilities - Regulated Electric,GBX 131.75,,,
Gemfields Group Ltd GEM,Basic Materials,Other Precious Metals & Mining,GBX 130.88,,,
Avingtrans PLC AVG,Industrials,Specialty Industrial Machinery,GBX 130.71,,,
Helios Underwriting PLC HUW,Financial Services,Insurance - Reinsurance,GBX 130.20,,,
Springfield Properties PLC SPR,Consumer Cyclical,Residential Construction,GBX 127.66,,,
Castings PLC CGS,Industrials,Specialty Industrial Machinery,GBX 127.33,,,
EKF Diagnostics Holdings PLC EKF,Healthcare,Medical Devices,GBX 127.27,,,
Motorpoint Group PLC MOTR,Consumer Cyclical,Auto & Truck Dealerships,GBX 126.65,,,
Accsys Technologies PLC AXS,Basic Materials,Lumber & Wood Production,GBX 126.60,,,
Sylvania Platinum Ltd SLP,Basic Materials,Other Precious Metals & Mining,GBX 125.57,,,
Kooth PLC KOO,Healthcare,Health Information Services,GBX 125.49,,,
Iomart Group PLC IOM,Technology,Software - Infrastructure,GBX 125.34,,,
Ultimate Products PLC ULTP,Consumer Cyclical,"Furnishings, Fixtures & Appliances",GBX 123.93,,,
Thor Explorations Ltd THX,Basic Materials,Gold,GBX 122.79,,,
Record PLC REC,Financial Services,Asset Management,GBX 122.72,,,
Rosebank Industries PLC ROSE,Financial Services,Asset Management,GBX 121.50,,,
Intercede Group PLC IGP,Technology,Software - Application,GBX 120.92,,,
Camellia PLC CAM,Consumer Defensive,Farm Products,GBX 119.32,,,
