Name,Sector,Industry,Market cap (mil),,,
Standard Chartered PLC STAN,Financial Services,Banks - Diversified,"GBX 19,306.98",,,
Imperial Brands PLC IMB,Consumer Defensive,Tobacco,"GBX 18,480.41",,,
Prudential PLC PRU,Financial Services,Insurance - Life,"GBX 17,585.43",,,
Antofagasta PLC ANTO,Basic Materials,Copper,"GBX 17,523.60",,,
GAIL (India) Ltd GAIA,Utilities,Utilities - Regulated Gas,"USD 16,565.03",,,
GAIL (India) Ltd GAID,Utilities,Utilities - Regulated Gas,"USD 16,565.03",,,
Associated British Foods PLC ABF,Consumer Defensive,Packaged Foods,"GBX 16,519.31",,,
SDIC Power Holdings Co Ltd SDIC,Utilities,Utilities - Renewable,"USD 16,149.23",,,
Carnival PLC CCL,Consumer Cyclical,Leisure,"GBX 15,813.74",,,
Kerry Group PLC KYGA,Consumer Defensive,Packaged Foods,"EUR 15,440.01",,,
Ryanair Holdings PLC 0RYA,Industrials,Airlines,"GBX 15,389.51",,,
Huatai Securities Co Ltd HTSC,Financial Services,Capital Markets,"USD 15,264.45",,,
BT Group PLC BT.A,Communication Services,Telecom Services,"GBX 14,486.80",,,
LG Electronics Inc LGLD,Technology,Consumer Electronics,"USD 14,121.80",,,
OTP Bank PLC OTPD,Financial Services,Banks - Regional,"USD 13,868.19",,,
CK Infrastructure Holdings Ltd CKI,Utilities,Utilities - Regulated Electric,"GBX 13,861.61",,,
Aviva PLC AV.,Financial Services,Insurance - Diversified,"GBX 13,008.41",,,
Legal & General Group PLC LGEN,Financial Services,Asset Management,"GBX 12,948.89",,,
InterContinental Hotels Group PLC IHG,Consumer Cyclical,Lodging,"GBX 12,553.66",,,
Next PLC NXT,Consumer Cyclical,Apparel Retail,"GBX 12,427.33",,,
Bunzl PLC BNZL,Consumer Defensive,Food Distribution,"GBX 12,320.97",,,
Segro PLC SGRO,Real Estate,REIT - Industrial,"GBX 12,033.40",,,
Elopak ASA 0AB3E,Consumer Cyclical,Packaging & Containers,"NOK 11,525.39",,,
Informa PLC INF,Communication Services,Publishing,"GBX 11,130.19",,,
Cibus Nordic Real Estate AB 0ABQ,Real Estate,Real Estate Services,"SEK 11,007.53",,,
AIB Group PLC AIBG,Financial Services,Banks - Regional,"GBX 10,622.67",,,
Turkiye Is Bankasi AS TIBD,Financial Services,Banks - Regional,"USD 10,488.53",,,
Sage Group (The) PLC SGE,Technology,Software - Application,"GBX 10,305.77",,,
China Steel Corp CNSD,Basic Materials,Steel,"USD 10,276.83",,,
Smith & Nephew PLC SN.,Healthcare,Medical Devices,"GBX 10,171.56",,,
International Consolidated Airlines Group SA IAG,Industrials,Airlines,"GBX 10,109.76",,,
Bank of Ireland Group PLC BIRG,Financial Services,Banks - Regional,"EUR 10,080.73",,,
Coca-Cola HBC AG CCH,Consumer Defensive,Beverages - Non-Alcoholic,"GBX 10,058.91",,,
ANA Holdings Inc ANAA,Industrials,Airlines,"USD 10,056.08",,,
Halma PLC HLMA,Industrials,Conglomerates,"GBX 9,723.91",,,
National Atomic Co Kazatomprom JSC 59OT,Energy,Uranium,"USD 9,678.44",,,
National Atomic Co Kazatomprom JSC KAP,Energy,Uranium,"USD 9,678.44",,,
Jardine Matheson Holdings Ltd JAR,Industrials,Conglomerates,"USD 9,643.57",,,
Air China Ltd AIRC,Industrials,Airlines,"GBX 9,295.26",,,
Rentokil Initial PLC RTO,Industrials,Specialty Business Services,"GBX 9,277.63",,,
Admiral Group PLC ADM,Financial Services,Insurance - Property & Casualty,"GBX 8,509.87",,,
WPP PLC WPP,Communication Services,Advertising Agencies,"GBX 8,313.50",,,
Hongkong Land Holdings Ltd HKLD,Real Estate,Real Estate - Development,"USD 8,186.57",,,
Intertek Group PLC ITRK,Industrials,Specialty Business Services,"GBX 8,128.23",,,
Severn Trent PLC SVT,Utilities,Utilities - Regulated Water,"GBX 8,050.07",,,
Auto Trader Group PLC AUTO,Communication Services,Internet Content & Information,"GBX 7,916.47",,,
JD Sports Fashion PLC JD.,Consumer Cyclical,Apparel Retail,"GBX 7,785.07",,,
Marks & Spencer Group PLC MKS,Consumer Cyclical,Department Stores,"GBX 7,417.83",,,
South32 Ltd S32,Basic Materials,Other Industrial Metals & Mining,"GBX 7,400.29",,,
Barratt Developments PLC BDEV,Consumer Cyclical,Residential Construction,"GBX 7,315.19",,,
United Utilities Group PLC UU.,Utilities,Utilities - Regulated Water,"GBX 7,197.33",,,
Hellenic Telecommunication Organization SA OTES,Communication Services,Telecom Services,"USD 7,040.54",,,
Sainsbury (J) PLC SBRY,Consumer Defensive,Grocery Stores,"GBX 6,924.73",,,
Wise PLC WISE,Technology,Information Technology Services,"GBX 6,872.63",,,
Pearson PLC PSON,Communication Services,Publishing,"GBX 6,799.34",,,
Intermediate Capital Group PLC ICG,Financial Services,Asset Management,"GBX 6,742.66",,,
DS Smith PLC SMDS,Consumer Cyclical,Packaging & Containers,"GBX 6,606.75",,,
Mondi PLC MNDI,Basic Materials,Paper & Paper Products,"GBX 6,376.87",,,
Smiths Group PLC SMIN,Industrials,Specialty Industrial Machinery,"GBX 6,247.17",,,
Steel Authority Of India Ltd SAUA,Basic Materials,Steel,"USD 6,243.25",,,
Steel Authority Of India Ltd SAUD,Basic Materials,Steel,"USD 6,237.37",,,
Centrica PLC CNA,Utilities,Utilities - Independent Power Producers,"GBX 6,151.43",,,
Melrose Industries PLC MRO,Industrials,Specialty Industrial Machinery,"GBX 6,119.72",,,
Kingfisher PLC KGF,Consumer Cyclical,Home Improvement Retail,"GBX 6,060.27",,,
Diploma PLC DPLM,Industrials,Industrial Distribution,"GBX 6,028.42",,,
Taylor Wimpey PLC TW.,Consumer Cyclical,Residential Construction,"GBX 5,977.15",,,
Croda International PLC CRDA,Basic Materials,Specialty Chemicals,"GBX 5,676.18",,,
Weir Group PLC WEIR,Industrials,Specialty Industrial Machinery,"GBX 5,618.00",,,
Schroders PLC SDR,Financial Services,Asset Management,"GBX 5,613.33",,,
Whitbread PLC WTB,Consumer Cyclical,Lodging,"GBX 5,525.74",,,
Phoenix Group Holdings PLC PHNX,Financial Services,Insurance - Life,"GBX 5,488.67",,,
The Federal Bank Ltd FEDS,Financial Services,Banks - Regional,"USD 5,454.61",,,
The Federal Bank Ltd FEDA,Financial Services,Banks - Regional,"USD 5,449.47",,,
Persimmon PLC PSN,Consumer Cyclical,Residential Construction,"GBX 5,413.96",,,
Rightmove PLC RMV,Communication Services,Internet Content & Information,"GBX 5,372.97",,,
UPL Ltd UPLL,Basic Materials,Agricultural Inputs,"USD 5,329.54",,,
Spirax Group PLC SPX,Industrials,Specialty Industrial Machinery,"GBX 5,316.53",,,
Howden Joinery Group PLC HWDN,Consumer Cyclical,"Furnishings, Fixtures & Appliances","GBX 5,274.83",,,
Commercial International Bank - Egypt CIB CBKD,Financial Services,Banks - Regional,"USD 5,269.25",,,
Hargreaves Lansdown PLC HL.,Financial Services,Asset Management,"GBX 5,253.64",,,
DCC PLC DCC,Energy,Oil & Gas Refining & Marketing,"GBX 5,181.12",,,
BankMuscat (SAOG) BKM,Financial Services,Banks - Regional,"USD 5,032.78",,,
BankMuscat (SAOG) BKMA,Financial Services,Banks - Regional,"USD 5,032.69",,,
Berkeley Group Holdings (The) PLC BKG,Consumer Cyclical,Residential Construction,"GBX 5,002.01",,,
Land Securities Group PLC LAND,Real Estate,REIT - Diversified,"GBX 4,938.88",,,
M&G PLC MNG,Financial Services,Asset Management,"GBX 4,927.44",,,
Beazley PLC BEZ,Financial Services,Insurance - Specialty,"GBX 4,861.66",,,
Aluminium Bahrain BSC ALBH,Basic Materials,Aluminum,"USD 4,831.05",,,
Aluminium Bahrain BSC 78QZ,Basic Materials,Aluminum,"USD 4,831.05",,,
The Commercial Bank (Q.S.C.) 55BC,Financial Services,Banks - Regional,"USD 4,821.60",,,
The Commercial Bank (Q.S.C.) CBQS,Financial Services,Banks - Regional,"USD 4,821.60",,,
SNGN Romgaz SA SNGR,Energy,Oil & Gas E&P,"USD 4,812.29",,,
SNGN Romgaz SA SNG1,Energy,Oil & Gas E&P,"USD 4,812.29",,,
Halyk Bank of Kazakhstan JSC HSBK,Financial Services,Banks - Regional,"USD 4,747.90",,,
Halyk Bank of Kazakhstan JSC 37QB,Financial Services,Banks - Regional,"USD 4,747.90",,,
IMI PLC IMI,Industrials,Specialty Industrial Machinery,"GBX 4,727.84",,,
Entain PLC ENT,Consumer Cyclical,Gambling,"GBX 4,706.54",,,
UNITE Group PLC UTG,Real Estate,REIT - Diversified,"GBX 4,694.27",,,
